#IDA	IDB	WI2004	WI2007	BPMAPS
C14F5.5	T28F12.3			core
C14F5.5	W04D2.1			core
C15A11.7	W08F4.8	core		
C15B12.6	K09B11.1	core		
C15C7.2	ZK858.4	core		
C15C7.5	F44D12.1		core	
C15C7.5	F59C12.3		core	
C15C7.5	Y37A1B.1		core	
C15C8.2	C25A1.11		core	
C15F1.7	F10E9.6		core	
C15H11.6	Y71F9AM.5		core	
C15H11.6	ZK1055.7		core	
C15H11.7	T05E7.5			core
C15H11.7	W04D2.1			core
C15H11.7	ZK945.2		core	core
C15H11.9	F56C9.1			core
C15H9.2	Y55F3AM.14		core	
C15H9.7	C54D10.3		core	
C15H9.9	R05F9.10	core		
C16A11.5	C50F4.1		core	
C16A3.10	K04F10.2		core	
C16A3.5	C56C10.8			core
C16A3.8	C38D4.6	core		
C16B8.2	C18H9.7	core		
C16B8.3	C16B8.3		core	
C16B8.3	C17D12.2		core	
C16B8.3	C24H11.3		core	
C16B8.3	C49A1.4	core		
C16B8.3	F14F3.1	core		
C16B8.3	K09B11.9	core	core	
C16B8.3	T04H1.2	core		
C16B8.3	W01A11.4		core	
C16B8.3	W03D8.8	core		
C16B8.3	Y80D3A.3		core	
C16B8.3	ZK1067.6		core	
C16B8.3	ZK121.2		core	
C16C10.3	F43G9.5		core	
C16C10.6	Y40B10A.2		core	
C16C4.4	F27C1.6	core		
C16C4.4	F40F8.8	core		
C16C8.11	C16C8.11			core
C16C8.11	H20J04.5		core	
C16C8.11	W09C2.1		core	
C16C8.12	F32E10.4	core		
C16C8.12	T11B7.4	core		
C16C8.12	ZK858.4	core		
C16C8.4	Y47G6A.14		core	
C16C8.5	F37B1.4		core	
C16C8.5	T11B7.4	core		
C16C8.9	R05F9.10		core	
C17B7.7	T04H1.2	core		
C17C3.8	R02F2.5		core	
C17C3.8	Y49E10.14		core	
C17D12.2	K02B9.2		core	
C17D12.2	M04G12.1		core	
C17D12.2	T19E7.3		core	
C17D12.2	T21G5.5		core	
C17D12.2	W10C8.2		core	
C17D12.7	C38D9.1		core	
C17E4.10	R13F6.9	core		
C17E4.2	F27C1.6	core		
C17E4.2	Y38H6C.14	core		
C17E4.2	ZK20.3			core
C17E7.4	K04G2.8		core	
C17E7.4	T17H7.4	core		
C17E7.4	Y41E3.7		core	
C17G1.7	Y57A10A.24		core	
C17G10.5	C18B2.4	core		
C17G10.5	C18B2.5		core	
C17G10.5	R05F9.10		core	
C17G10.5	R09B5.5	core		
C17G10.5	T01D1.6	core		
C17G10.5	Y113G7B.23			core
C17G10.9	T16G1.11	core		
C17H12.1	T24H10.6	core	core	
C17H12.14	E02H4.2		core	
C17H12.14	F53G12.4		core	
C17H12.14	T08E11.4		core	
C17H12.14	ZK652.6		core	
C17H12.2	F32A11.6		core	
C17H12.4	W09C2.1		core	
C18A11.2	F47B8.3		core	
C18A11.7	F35G12.9	core		
C18A11.7	T28A11.11	core		
C18A11.7	Y110A7A.13	core		
C18A3.5	F56F3.6		core	
C18B2.2	F52E4.7		core	
C18B2.4	R02F2.5	core		
C18B2.4	Y22F5A.4	core		
C18B2.4	ZK1127.10		core	
C18B2.5	R07E4.6	core		
C18B2.5	ZC123.4		core	
C18C4.10	F46C5.9	core		
C18C4.10	W02B12.8	core		
C18C4.10	ZK1098.10	core	core	
C18D1.3	C18G1.2		core	
C18D11.4	C23G10.8			core
C18D11.4	C56C10.8			core
C18D4.8	E02H4.2		core	
C18E3.3	ZK675.2			core
C18E3.9	Y69H2.3		core	
C18E9.8	F54A5.1		core	
C18E9.8	Y105C5B.19		core	
C18E9.9	C40A11.2	core		
C18G1.2	C25E10.10		core	
C18G1.2	F11A5.2		core	
C18G1.2	F25D1.5		core	
C18G1.2	F31D4.4		core	
C18G1.2	K04A8.1		core	
C18G1.2	K05B2.3		core	
C18G1.2	K10C9.7		core	
C18G1.2	T20D4.17		core	
C18G1.2	Y34D9A.3		core	
C18G1.2	Y38E10A.3		core	
C18G1.2	Y49F6C.3		core	
C18G1.2	Y59A8A.1		core	
C18H9.1	E02H4.2		core	
C18H9.1	F44F1.7		core	
C18H9.7	C25A1.4		core	
C18H9.7	C39D10.7	core		
C18H9.7	C52B11.2		core	
C18H9.7	D1037.3		core	
C18H9.7	D1054.5	core		
C18H9.7	F10D11.2		core	
C18H9.7	F49E8.4		core	
C18H9.7	F54C9.11	core	core	
C18H9.7	K09B11.9	core		
C18H9.7	K10D3.4	core		
